SourceFile,GPSLatitude,GPSLongitude
/Users/cassiebrooks/Desktop/pht/IMG_0982.jpg,"13 deg 43' 23.13"" N","100 deg 32' 22.41"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1444.jpg,"7 deg 37' 50.08"" N","99 deg 1' 55.44"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7035.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_8306.jpg,"45 deg 53' 10.86"" N","8 deg 31' 58.87"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8689.jpg,"47 deg 23' 58.26"" N","0 deg 40' 47.66"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8851.jpg,"48 deg 48' 19.13"" N","2 deg 25' 31.48"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1875.jpg,"48 deg 53' 12.34"" N","2 deg 19' 32.80"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4919.jpg,"48 deg 52' 24.84"" N","2 deg 19' 55.00"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6868.jpg,"8 deg 21' 36.00"" S","116 deg 4' 33.20"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6840.jpg,"8 deg 21' 24.85"" S","116 deg 4' 30.04"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1560.m4v,"7 deg 44' 35.48"" N","98 deg 46' 25.32"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6698.jpg,"8 deg 23' 2.24"" S","116 deg 24' 3.08"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1691.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_3086.jpg,"43 deg 31' 41.16"" N","3 deg 55' 50.95"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2398.jpg,"48 deg 53' 3.51"" N","2 deg 19' 35.70"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3092.jpg,"42 deg 7' 43.51"" N","2 deg 45' 30.34"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4925.jpg,"48 deg 52' 25.81"" N","2 deg 19' 52.82"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1685.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_6854.jpg,"8 deg 21' 42.09"" S","116 deg 4' 36.55"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8879.jpg,"48 deg 38' 6.52"" N","1 deg 30' 36.36"" W"
/Users/cassiebrooks/Desktop/pht/IMG_5385.jpg,"51 deg 29' 57.40"" N","0 deg 7' 32.20"" W"
/Users/cassiebrooks/Desktop/pht/IMG_4070.jpg,"52 deg 21' 54.68"" N","4 deg 53' 3.60"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2401.jpg,"48 deg 53' 3.48"" N","2 deg 19' 35.76"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6667.jpg,"8 deg 23' 2.10"" S","116 deg 24' 3.16"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1108.jpg,"8 deg 0' 35.12"" N","98 deg 50' 33.24"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8892.jpg,"48 deg 38' 6.65"" N","1 deg 30' 36.51"" W"
/Users/cassiebrooks/Desktop/pht/IMG_7579.jpg,"48 deg 48' 30.98"" N","2 deg 24' 59.46"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6101.jpg,"1 deg 18' 6.10"" N","103 deg 51' 30.26"" E"
/Users/cassiebrooks/Desktop/pht/IMG_9232.jpg,"48 deg 53' 40.11"" N","2 deg 13' 11.62"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2367.jpg,"48 deg 52' 41.52"" N","2 deg 20' 28.45"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2928.m4v,"46 deg 11' 49.88"" N","6 deg 47' 22.16"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3079.jpg,"43 deg 19' 50.07"" N","6 deg 39' 23.21"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4716.jpg,"48 deg 51' 33.83"" N","2 deg 20' 44.79"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0564.jpg,"48 deg 48' 18.78"" N","2 deg 25' 32.12"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6115.jpg,"5 deg 58' 8.16"" N","116 deg 3' 50.03"" E"
/Users/cassiebrooks/Desktop/pht/IMG_9226.jpg,"48 deg 53' 41.93"" N","2 deg 13' 7.57"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6673.jpg,"8 deg 23' 2.23"" S","116 deg 24' 3.11"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8886.jpg,"48 deg 38' 6.65"" N","1 deg 30' 36.51"" W"
/Users/cassiebrooks/Desktop/pht/IMG_1134.jpg,"8 deg 0' 43.60"" N","98 deg 50' 29.10"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6883.jpg,"8 deg 21' 49.72"" S","116 deg 4' 40.70"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8676.jpg,"48 deg 48' 19.26"" N","2 deg 25' 32.56"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7545.jpg,"48 deg 48' 19.35"" N","2 deg 25' 33.10"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3723.jpg,"48 deg 53' 12.02"" N","2 deg 19' 31.45"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3045.jpg,"43 deg 19' 50.46"" N","6 deg 39' 22.81"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7223.jpg,"7 deg 36' 26.74"" S","110 deg 12' 13.83"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1652.jpg,"13 deg 45' 56.75"" N","100 deg 34' 10.19"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7237.jpg,"1 deg 17' 11.08"" N","103 deg 51' 43.50"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1646.jpg,"13 deg 45' 56.41"" N","100 deg 34' 10.02"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6129.jpg,"6 deg 2' 7.73"" N","116 deg 33' 0.97"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3737.jpg,-,-
/Users/cassiebrooks/Desktop/pht/07979FCB-F06D-4B13-B786-73985D37A840.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_1120.jpg,"8 deg 0' 51.23"" N","98 deg 50' 31.32"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6897.jpg,"8 deg 21' 49.82"" S","116 deg 4' 40.92"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8662.jpg,"48 deg 51' 52.14"" N","2 deg 21' 19.07"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8925.jpg,"48 deg 37' 37.39"" N","1 deg 30' 23.10"" W"
/Users/cassiebrooks/Desktop/pht/IMG_6908.jpg,"8 deg 21' 49.82"" S","116 deg 4' 40.04"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3870.jpg,"48 deg 52' 58.08"" N","2 deg 20' 3.79"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4879.jpg,"48 deg 50' 32.57"" N","2 deg 23' 10.35"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1915.jpg,"48 deg 53' 8.19"" N","2 deg 19' 37.54"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8931.jpg,"48 deg 39' 30.82"" N","1 deg 59' 58.77"" W"
/Users/cassiebrooks/Desktop/pht/IMG_3694.jpg,"48 deg 52' 16.76"" N","2 deg 19' 55.30"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1083.jpg,"8 deg 1' 3.26"" N","98 deg 52' 38.93"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8919.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_7394.jpg,"42 deg 13' 9.30"" N","2 deg 33' 22.62"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4845.jpg,"48 deg 48' 19.36"" N","2 deg 25' 32.50"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5583.jpg,"48 deg 48' 19.09"" N","2 deg 25' 32.97"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4851.jpg,"48 deg 53' 11.76"" N","2 deg 19' 31.80"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1929.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_7380.jpg,"42 deg 13' 6.63"" N","2 deg 33' 14.78"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1097.jpg,"8 deg 0' 33.68"" N","98 deg 50' 39.18"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0389.jpg,"48 deg 53' 12.72"" N","2 deg 19' 31.90"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6920.jpg,"8 deg 21' 48.58"" S","116 deg 4' 41.58"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3858.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_2575.jpg,"44 deg 38' 3.88"" N","1 deg 15' 6.52"" W"
/Users/cassiebrooks/Desktop/pht/IMG_4104.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_6713.jpg,"8 deg 23' 1.99"" S","116 deg 24' 3.00"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6075.jpg,"1 deg 16' 44.40"" N","103 deg 50' 49.67"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8058.jpg,"46 deg 20' 27.68"" N","1 deg 26' 34.94"" W"
/Users/cassiebrooks/Desktop/pht/IMG_4662.jpg,"48 deg 53' 12.74"" N","2 deg 19' 32.45"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2213.jpg,"52 deg 21' 33.17"" N","4 deg 53' 2.32"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4676.jpg,"48 deg 48' 19.40"" N","2 deg 25' 32.22"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3119.jpg,"41 deg 58' 55.94"" N","2 deg 49' 34.65"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2207.jpg,"52 deg 21' 33.05"" N","4 deg 53' 1.95"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6061.jpg,"1 deg 16' 39.38"" N","103 deg 50' 48.49"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0410.jpg,"48 deg 52' 32.80"" N","2 deg 20' 50.00"" E"
/Users/cassiebrooks/Desktop/pht/B827D26C-B606-468F-B3FD-AF9DC285A416.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_7419.jpg,"48 deg 48' 18.73"" N","2 deg 25' 31.84"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1068.jpg,"8 deg 2' 32.63"" N","98 deg 54' 38.84"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6707.jpg,"8 deg 23' 2.15"" S","116 deg 24' 3.03"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4110.jpg,"48 deg 48' 19.57"" N","2 deg 25' 31.82"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8702.jpg,"38 deg 2' 4.58"" N","109 deg 32' 42.87"" W"
/Users/cassiebrooks/Desktop/pht/IMG_7431.jpg,"48 deg 51' 35.52"" N","2 deg 21' 16.41"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5226.jpg,"51 deg 32' 31.52"" N","0 deg 8' 51.50"" W"
/Users/cassiebrooks/Desktop/pht/IMG_3657.jpg,"48 deg 48' 16.37"" N","2 deg 25' 39.18"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4138.jpg,"48 deg 50' 36.79"" N","2 deg 44' 9.95"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3131.jpg,"41 deg 58' 55.95"" N","2 deg 49' 35.46"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4886.jpg,"48 deg 50' 38.42"" N","2 deg 21' 48.23"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5540.jpg,"48 deg 52' 42.25"" N","2 deg 20' 23.20"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6049.jpg,"1 deg 16' 45.74"" N","103 deg 50' 42.61"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1726.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_8064.jpg,"46 deg 21' 39.37"" N","1 deg 25' 38.92"" W"
/Users/cassiebrooks/Desktop/pht/IMG_1732.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_8070.jpg,"46 deg 21' 39.26"" N","1 deg 25' 39.15"" W"
/Users/cassiebrooks/Desktop/pht/IMG_7343.jpg,"42 deg 4' 21.25"" N","2 deg 53' 13.66"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3125.jpg,"41 deg 58' 55.96"" N","2 deg 49' 34.68"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4892.jpg,"48 deg 50' 48.58"" N","2 deg 20' 35.87"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5232.jpg,"51 deg 32' 29.99"" N","0 deg 8' 45.83"" W"
/Users/cassiebrooks/Desktop/pht/IMG_3643.jpg,"48 deg 52' 42.58"" N","2 deg 20' 26.92"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7425.jpg,"48 deg 48' 19.32"" N","2 deg 25' 32.75"" E"
/Users/cassiebrooks/Desktop/pht/IMG_9187.jpg,"48 deg 53' 41.01"" N","2 deg 13' 9.97"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5965.jpg,"1 deg 17' 3.34"" N","103 deg 51' 49.65"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3029.m4v,"43 deg 19' 50.16"" N","6 deg 39' 24.08"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2978.jpg,"45 deg 59' 44.12"" N","6 deg 52' 52.68"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5971.jpg,"1 deg 16' 59.44"" N","103 deg 51' 45.23"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4020.m4v,"48 deg 52' 14.84"" N","2 deg 19' 42.56"" E"
/Users/cassiebrooks/Desktop/pht/IMG_9193.jpg,"48 deg 53' 40.77"" N","2 deg 13' 9.94"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5959.jpg,"1 deg 17' 1.12"" N","103 deg 51' 55.75"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5781.jpg,"1 deg 16' 59.84"" N","103 deg 52' 1.52"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6288.jpg,"8 deg 33' 1.51"" S","115 deg 15' 29.91"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0821.jpg,"13 deg 44' 7.23"" N","100 deg 33' 28.30"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7196.jpg,"7 deg 36' 28.90"" S","110 deg 12' 13.56"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1281.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_3001.m4v,"45 deg 57' 0.32"" N","6 deg 57' 30.60"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2950.jpg,"46 deg 11' 34.38"" N","6 deg 48' 58.42"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2944.jpg,"46 deg 11' 26.16"" N","6 deg 48' 58.35"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3482.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_1295.jpg,"8 deg 0' 16.61"" N","98 deg 50' 24.43"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0835.jpg,"13 deg 44' 7.17"" N","100 deg 33' 28.19"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7182.jpg,"7 deg 36' 28.89"" S","110 deg 12' 12.68"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5795.jpg,"1 deg 16' 58.98"" N","103 deg 52' 0.34"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2011.jpg,"48 deg 48' 13.35"" N","2 deg 25' 37.64"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4460.jpg,"42 deg 7' 2.05"" N","2 deg 45' 0.04"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7169.jpg,"7 deg 36' 27.76"" S","110 deg 12' 13.56"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0606.jpg,"48 deg 48' 18.99"" N","2 deg 25' 32.26"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1518.jpg,"7 deg 44' 25.55"" N","98 deg 46' 15.92"" E"
/Users/cassiebrooks/Desktop/pht/IMG_9144.jpg,"48 deg 52' 14.74"" N","2 deg 20' 47.95"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6277.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_6511.jpg,"8 deg 33' 1.46"" S","115 deg 15' 29.88"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2777.jpg,"46 deg 11' 24.96"" N","6 deg 40' 35.61"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5018.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_2763.jpg,"48 deg 51' 47.14"" N","2 deg 18' 43.31"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6505.jpg,"8 deg 33' 1.46"" S","115 deg 15' 29.88"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0612.jpg,"48 deg 48' 18.73"" N","2 deg 25' 32.47"" E"
/Users/cassiebrooks/Desktop/pht/IMG_9150.jpg,"48 deg 48' 54.09"" N","2 deg 25' 11.86"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6263.jpg,"5 deg 56' 57.10"" N","116 deg 3' 36.82"" E"
/Users/cassiebrooks/Desktop/pht/IMG_0285.m4v,"48 deg 53' 12.84"" N","2 deg 19' 28.88"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2005.jpg,"48 deg 48' 17.18"" N","2 deg 25' 35.62"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7155.jpg,"7 deg 36' 30.59"" S","110 deg 12' 14.22"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8266.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_1524.jpg,"7 deg 44' 44.18"" N","98 deg 46' 41.10"" E"
/Users/cassiebrooks/Desktop/pht/IMG_9178.jpg,"48 deg 53' 41.96"" N","2 deg 13' 7.95"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5742.jpg,"1 deg 17' 3.03"" N","103 deg 51' 40.23"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3333.jpg,"48 deg 48' 23.25"" N","2 deg 7' 15.87"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2993.jpg,"45 deg 56' 50.90"" N","6 deg 57' 38.18"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3455.jpg,"48 deg 52' 42.44"" N","2 deg 20' 27.45"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5024.jpg,"48 deg 50' 49.09"" N","2 deg 20' 33.49"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1242.jpg,"8 deg 0' 44.31"" N","98 deg 50' 15.44"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7633.jpg,"53 deg 32' 13.51"" N","2 deg 1' 36.06"" W"
/Users/cassiebrooks/Desktop/pht/IMG_8500.jpg,"48 deg 48' 9.95"" N","2 deg 25' 36.38"" E"
/Users/cassiebrooks/Desktop/pht/IMG_6539.jpg,"8 deg 33' 1.33"" S","115 deg 15' 29.17"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1256.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_8514.jpg,"51 deg 14' 25.01"" N","0 deg 18' 48.26"" W"
/Users/cassiebrooks/Desktop/pht/IMG_2987.jpg,"45 deg 56' 52.50"" N","6 deg 57' 36.64"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5030.jpg,"48 deg 49' 47.42"" N","2 deg 38' 12.04"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5756.jpg,"1 deg 16' 49.11"" N","103 deg 51' 45.29"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2039.jpg,"48 deg 48' 15.09"" N","2 deg 25' 36.72"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3327.jpg,"48 deg 48' 12.74"" N","2 deg 6' 52.44"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4448.jpg,"42 deg 7' 40.34"" N","2 deg 45' 38.79"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7141.jpg,"7 deg 45' 41.46"" S","110 deg 23' 53.77"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1530.jpg,"7 deg 44' 57.56"" N","98 deg 46' 45.14"" E"
/Users/cassiebrooks/Desktop/pht/IMG_5031.jpg,"48 deg 49' 47.21"" N","2 deg 38' 12.05"" E"
/Users/cassiebrooks/Desktop/pht/IMG_2986.jpg,"45 deg 56' 53.71"" N","6 deg 57' 38.20"" E"
/Users/cassiebrooks/Desktop/pht/IMG_8515.jpg,"51 deg 14' 25.01"" N","0 deg 18' 48.26"" W"
/Users/cassiebrooks/Desktop/pht/IMG_7626.jpg,-,-
/Users/cassiebrooks/Desktop/pht/IMG_1257.jpg,"8 deg 0' 29.84"" N","98 deg 50' 30.00"" E"
/Users/cassiebrooks/Desktop/pht/IMG_1531.jpg,"7 deg 44' 57.56"" N","98 deg 46' 45.14"" E"
/Users/cassiebrooks/Desktop/pht/IMG_7140.jpg,"7 deg 45' 32.72"" S","110 deg 23' 57.78"" E"
/Users/cassiebrooks/Desktop/pht/IMG_4449.jpg,"42 deg 7' 40.34"" N","2 deg 45' 38.79"" E"
/Users/cassiebrooks/Desktop/pht/IMG_3326.jpg,"48 deg 48' 13.69"" N","2 deg 6' 47.88"" E"
